Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0.988,0.00278,-0.04433,1.00075,-2.85004,0,-1.13404
0.996,0.0008,-0.03956,0.98957,-2.66876,0.25177,-1.46955
1.4,0.00271,-0.04185,0.99033,-2.33643,-0.0705,-1.79836
1.12,0.00328,-0.04353,0.99304,-2.29614,-0.04028,-1.94598
1.2,0.00286,-0.0404,0.9861,-2.0343,-0.05035,-1.9594
1.28,0.00374,-0.03952,0.98358,-1.65161,0.09064,-2.28821
1.36,0.00519,-0.04204,0.98999,-1.24878,-0.12085,-2.57675
1.4,0.00481,-0.04501,0.99586,-1.26892,-0.18127,-2.57675
1.44,0.00496,-0.04028,0.99388,-1.04736,-0.10071,-2.69754
1.48,0.00473,-0.04356,0.99403,-0.56396,-0.30212,-2.61701
1.52,0.00519,-0.04135,0.98999,-0.54382,-0.06042,-2.61701
1.56,0.00381,-0.03654,0.98625,-0.36255,0.02014,-2.68412
1.6,0.00549,-0.04204,0.99342,-0.02014,-0.18127,-3.01963
1.64,0.00748,-0.04448,0.99785,0.14099,-0.06042,-2.97937
1.68,0.00763,-0.04044,0.99678,0.08057,0.10071,-2.93911
1.72,0.00671,-0.04486,0.99792,0.34241,-0.20142,-2.8049
1.76,0.00778,-0.04143,0.99541,0.4834,0.02014,-3.04647
1.8,0.00679,-0.0383,0.99266,0.90637,0.14099,-2.96595
1.84,0.00565,-0.04189,0.99258,1.08765,0.18127,-2.872
1.88,0.00801,-0.03937,0.98976,0.9668,0.18127,-2.76464
1.92,0.00778,-0.04028,0.99091,1.38977,0.18127,-2.93911
1.96,0.00725,-0.04425,0.99281,1.75232,0.26184,-2.85858
1.1,0.00824,-0.04059,0.98755,1.85303,0.22156,-2.83174
1.104,0.00847,-0.03922,0.98396,2.15515,0.38269,-2.71096
1.108,0.009,-0.04196,0.98389,2.43713,0.30212,-2.65727
1.112,0.00954,-0.04074,0.98282,2.67883,0.2417,-2.65727
1.116,0.00992,-0.04173,0.98412,2.73926,0.16113,-2.45597
1.12,0.01053,-0.0425,0.98656,2.92053,0.12085,-2.44254
1.124,0.01244,-0.0415,0.9861,3.2428,0.16113,-2.52307
1.128,0.01015,-0.04105,0.9874,3.40393,0.14099,-2.46939
1.132,0.00961,-0.04295,0.98816,3.66577,-0.12085,-2.20097
1.136,0.01007,-0.04051,0.98915,3.76648,0,-2.02651
1.14,0.01053,-0.0425,0.98976,4.02832,0.16113,-2.06677
1.144,0.01038,-0.04143,0.99342,3.88733,0.08057,-2.10703
1.148,0.01099,-0.04311,0.99731,4.43115,0.14099,-1.90572
1.152,0.01129,-0.04326,0.9964,4.71313,0.06042,-1.78494
1.156,0.00992,-0.03983,0.99228,4.81384,0.02014,-1.55679
1.16,0.00938,-0.04227,0.9922,5.13611,-0.02014,-1.81178
1.164,0.01053,-0.04105,0.99777,5.29724,0,-1.83862
1.168,0.01122,-0.04448,1.00266,5.41809,0.18127,-1.62389
1.172,0.01083,-0.04524,1.00349,5.23682,0.36255,-1.436
1.176,0.01129,-0.04318,0.99907,5.07568,0.18127,-1.3018
1.18,0.01144,-0.04379,0.99754,5.29724,0.2417,-1.08707
1.184,0.01144,-0.04456,0.99571,5.17639,0.08057,-1.23469
1.188,0.01106,-0.04021,0.99373,5.13611,0.32227,-1.12733
1.192,0.01198,-0.04333,0.99953,5.21667,0.2417,-0.89918
1.196,0.0119,-0.04532,1.00517,5.01526,0.30212,-0.67103
1.2,0.0119,-0.04494,1.00365,4.99512,0.14099,-0.57708
1.204,0.01129,-0.04417,1.00105,4.7937,0.20142,-0.50998
1.208,0.01068,-0.04486,0.99937,4.51172,0,-0.24157
1.212,0.01114,-0.04402,0.99739,4.67285,-0.08057,-0.01342
1.216,0.01205,-0.04433,1.00143,4.61243,-0.08057,-0.28183
1.22,0.0116,-0.04593,1.00784,4.29016,0.04028,-0.18789
1.224,0.01038,-0.04517,1.00891,3.88733,0,0.04026
1.228,0.01144,-0.047,1.00815,3.80676,0.08057,0.20131
1.232,0.01129,-0.0441,1.00548,3.94775,0.10071,0.16105
1.236,0.00938,-0.04333,1.00288,3.80676,0.22156,0.14763
1.24,0.00946,-0.04654,1.00418,3.70605,0.18127,0.28183
1.244,0.01091,-0.04341,1.00571,3.34351,0,0.28183
1.248,0.01045,-0.04333,1.00822,3.42407,0.08057,0.32209
1.252,0.01022,-0.04745,1.01189,3.14209,0,0.26841
1.256,0.01083,-0.04616,1.01021,2.63855,0.04028,0.28183
1.26,0.01114,-0.0441,1.00693,2.43713,0.30212,0.63077
1.264,0.0103,-0.04478,1.00395,2.39685,0.26184,0.92602
1.268,0.00793,-0.04433,1.00037,2.41699,0.16113,0.79181
1.272,0.00755,-0.0415,1.00166,2.276,0.16113,0.8455
1.276,0.00862,-0.04555,1.00563,2.21558,0.06042,1.0468
1.28,0.00908,-0.04616,1.00601,1.97388,0.2417,0.93944
1.284,0.00862,-0.04555,1.0067,1.83289,0.34241,0.73813
1.288,0.0074,-0.04692,1.00288,1.83289,0.34241,0.80523
1.292,0.00946,-0.04272,0.99533,1.47034,0.26184,0.9126
1.296,0.00633,-0.04257,0.99594,1.81274,-0.06042,0.88576
1.3,0.00565,-0.04463,1.0009,1.59119,0,0.89918
1.304,0.00755,-0.04349,1.00273,1.69189,0.04028,0.79181
1.308,0.00702,-0.04524,1.00334,1.65161,0.22156,0.69787
1.312,0.00641,-0.0441,1.00197,1.34949,0.08057,0.87234
1.316,0.0058,-0.04555,0.99701,1.32935,0.30212,0.95286
1.32,0.0071,-0.04257,0.99487,1.28906,0.20142,0.96628
