time,mag,fwd,gyro,hasGyro
25.10211,1.136392,-0.1066271,-0.7322822,True
25.1221,1.136303,-0.08206576,-1.944219,True
25.1421,1.136303,-0.07504231,-2.853143,True
25.16209,1.134704,-0.05066274,-3.608362,True
25.18209,1.156913,-0.02944916,-3.996144,True
25.20208,1.154461,-0.01209343,-4.986154,True
25.22208,1.1347,0.006654842,-5.385295,True
25.24207,1.160816,0.0337862,-6.380207,True
25.26207,1.163255,0.04326205,-7.166679,True
25.28206,1.163255,0.05159709,-7.751462,True
25.30206,1.171023,0.06249658,-8.49499,True
25.32205,1.189045,0.07854898,-9.31084,True
25.34205,1.178373,0.101694,-9.637416,True
25.36204,1.157284,0.1314118,-10.44811,True
25.38204,1.139796,0.1530336,-11.09488,True
25.40203,1.139796,0.1599553,-11.58588,True
25.42203,1.128301,0.174378,-12.22602,True
25.44202,1.120766,0.1837683,-12.54569,True
25.46201,1.086223,0.202375,-13.31979,True
25.482,1.083611,0.2181844,-13.90475,True
25.502,1.070104,0.2211271,-14.61165,True
25.52199,1.070104,0.2241918,-14.88384,True
25.54198,1.077304,0.2223128,-15.4983,True
25.56198,1.05322,0.220519,-15.91179,True
25.58197,1.045491,0.2370732,-16.21915,True
25.60197,1.046155,0.2471526,-16.62944,True
25.62196,1.034036,0.24282,-17.12447,True
25.64196,1.034036,0.2462141,-17.31162,True
25.66195,1.020839,0.2413735,-17.78118,True
25.68195,0.9971327,0.2297164,-18.15434,True
25.70199,0.9783167,0.2399035,-18.3368,True
25.72204,0.9616727,0.2519498,-18.77388,True
25.74208,0.950976,0.2583481,-18.9272,True
25.76213,0.950976,0.2575099,-19.28863,True
25.78217,0.9160355,0.255311,-19.56631,True
25.80221,0.920535,0.2634408,-19.90743,True
25.82226,0.9204604,0.2759334,-20.05726,True
25.8423,0.9239281,0.2857322,-20.42785,True
25.86235,0.9332019,0.2852214,-20.71626,True
25.88239,0.9332019,0.2805328,-20.86639,True
25.90244,0.95789,0.279135,-21.14686,True
25.92248,0.9379585,0.2844438,-21.39278,True
25.94253,0.9243614,0.3051905,-21.48069,True
25.96257,0.9109295,0.3060713,-21.66493,True
25.98261,0.9030877,0.2899223,-21.79405,True
26.00266,0.9030877,0.2853084,-21.85559,True
26.0227,0.9267944,0.2689567,-21.99142,True
26.04275,0.9359641,0.2871281,-22.02876,True
26.06279,0.8906748,0.2916553,-22.09259,True
26.08284,0.8979319,0.288906,-22.14614,True
