time,mag,fwd,gyro,hasGyro
0.01999523,0.9723418,0.01178214,0.4561906,True
0.03999051,0.972674,0.02100781,0.4839857,True
0.05998606,0.9652867,0.0198881,0.4839857,True
0.07998128,0.9640095,0.02670815,0.4839857,True
0.09997649,0.9690508,0.02469729,0.4839857,True
0.1199653,0.9791167,0.005762695,0.4839857,True
0.1399542,0.9658017,0.02625575,0.4839857,True
0.1599495,0.9581292,0.04042855,0.4839857,True
0.1799449,0.9809755,0.01799283,0.4839857,True
0.1999443,0.9877131,0.02269707,0.4839857,True
0.2199396,0.972548,0.05270837,0.4839857,True
0.2399351,0.9796479,0.06452868,0.4839857,True
0.2599305,0.9943284,0.04828073,0.4839857,True
0.279926,1.002878,0.04710065,0.4839857,True
0.2999216,1.003472,0.0455808,0.4839857,True
0.319917,0.9949933,0.05142466,0.4839857,True
0.3399186,0.9964627,0.05967307,0.4839857,True
0.3599181,0.9920944,0.07637783,0.4839857,True
0.3799142,1.000747,0.0670313,0.4839857,True
0.3999096,1.01284,0.05049533,0.4839857,True
0.4199055,1.005939,0.06058718,0.4839857,True
0.4399067,1.004282,0.06085213,0.4839857,True
0.459904,0.9966074,0.06477971,0.4839857,True
0.4798971,0.9901742,0.07200873,0.4839857,True
0.4998924,0.9912338,0.05924248,0.4839857,True
0.519888,0.9942696,0.04809077,0.4839857,True
0.5398833,0.981975,0.05355229,0.4839857,True
0.5598831,0.9763187,0.0536325,0.4839857,True
0.5798788,0.9777933,0.05042567,0.4839857,True
0.59987,0.994314,0.04313548,0.4839857,True
0.6198703,1.002329,0.0322075,0.4839857,True
0.6398658,1.007782,0.0246211,0.4839857,True
0.6598614,1.004988,0.02407621,0.4839857,True
0.6798567,1.00333,0.01860679,0.4839857,True
0.6998519,0.9965413,0.01572453,0.4839857,True
0.719847,0.9711978,0.02905799,0.4839857,True
0.7398369,0.9500817,0.0492716,0.4839857,True
0.7598276,0.94368,0.04719396,0.4839857,True
0.7798275,0.9523298,0.01446943,0.4839857,True
0.799829,0.9744521,-0.0223348,0.4839857,True
0.8198239,0.9637643,-0.01737973,0.4839857,True
0.8398135,0.9366617,0.02647434,0.4839857,True
0.8598127,0.9399225,0.03419257,0.4839857,True
0.8798033,0.9682,0.003776322,0.4839857,True
0.8997989,1.002251,-0.02972735,0.4729307,True
0.919794,0.9982493,-0.01760701,0.4729307,True
0.9397895,1.002251,-0.02920326,0.4716272,True
0.9597846,0.9982493,-0.01709132,0.4716272,True
0.9797798,0.9691294,0.02167676,0,True
0.9997707,0.9587376,0.04031217,0,True
1.019766,0.9691294,0.02139167,0.2999214,True
1.039757,0.9587376,0.04003033,0.2999214,True
1.059752,0.9833928,0.02590011,0.2998488,True
1.079747,0.9961742,0.003338123,0.304731,True
1.099738,0.9862171,-0.002509122,0.3163637,True
1.119733,0.9650733,0.01371724,0.3278491,True
1.139728,0.9399685,0.03664533,0.353947,True
1.159723,0.9490603,0.04057389,0.3806833,True
1.179718,0.9490603,0.03818321,0.4031492,True
1.199713,0.9636235,0.02116328,0.4099909,True
1.219708,0.9797341,0.01476156,0.4246759,True
1.239704,0.9861528,0.02035104,0.424662,True
1.259704,0.9830514,0.03254758,0.4223606,True
1.279694,0.9947203,0.0316251,0.4295068,True
1.299683,0.9947203,0.03067199,0.4298503,True
1.319673,1.02019,0.009914422,0.4356318,True
1.339667,1.064154,-0.008196172,0.4489965,True
1.359663,1.101901,-0.01525508,0.4586216,True
1.379652,1.094272,0.02185822,0.4781,True
1.399646,1.052888,0.06461503,0.4903525,True
1.419647,1.022,0.06987451,0.495322,True
1.439648,1.022,0.07551574,0.5050227,True
1.459643,1.000532,0.07553997,0.5035141,True
1.479638,0.9855359,0.08091181,0.5028787,True
1.499632,0.9839011,0.07629693,0.4998734,True
1.519627,0.993943,0.05782472,0.5018108,True
1.539627,0.9931198,0.04290935,0.4945518,True
1.559627,0.9931198,0.05032093,0.491104,True
1.579622,1.005021,0.05510567,0.4729732,True
1.599617,1.002837,0.04964984,0.4484889,True
1.619617,0.9767622,0.05013997,0.4280325,True
1.639612,0.9281921,0.06078169,0.4058478,True
1.659607,0.8942112,0.05487554,0.3928352,True
1.679602,0.8942112,0.05126583,0.3646109,True
1.699597,0.8804561,0.03933222,0.3400454,True
1.71959,0.8774534,0.0350116,0.3228769,True
1.739581,0.880535,0.01372836,0.3170524,True
1.759575,0.8704572,-0.002429919,0.3170524,False
1.77957,0.862873,-0.01610411,0.3134564,True
1.799564,0.862873,-0.02463702,0.3134564,False
1.81956,0.9211882,-0.06064655,0.2997919,True
1.839555,0.964842,-0.08285088,0.2939475,True
1.85955,0.9580135,-0.05174839,0.2939824,True
1.87955,0.9352276,-0.02187467,0.3028378,True
1.899539,0.9217967,-0.01844524,0.2970299,True
1.919529,0.9217967,-0.02672519,0.2975963,True
1.939526,0.9029527,-0.01885076,0.3232052,True
1.959522,0.943484,-0.0007406966,0.3271267,True
1.979517,1.051147,-0.03123449,0.3366929,True
1.999511,1.138329,-0.0574509,0.3519219,True
2.019501,1.2077,-0.07224661,0.3890834,True
2.039491,1.2077,-0.05341353,0.3968276,True
2.059486,1.210016,-0.02990072,0.4401009,True
2.079481,1.120698,0.05110243,0.477291,True
2.099471,1.032815,0.1173615,0.4923786,True
2.119466,1.010605,0.1021142,0.5543723,True
2.139461,1.008502,0.05831135,0.5655357,True
2.159456,0.9844531,0.0529389,0.5986342,True
2.179451,0.9844531,0.05506575,0.6156577,True
2.199448,0.9503592,0.06315772,0.6026533,True
2.219443,0.9416352,0.05349573,0.5903555,True
2.239438,0.9208652,0.04980271,0.5948023,True
2.259433,0.9048069,0.05797227,0.5749972,True
2.279428,0.9048069,0.05501631,0.5540264,True
2.299423,0.9323978,0.03775477,0.5368602,True
2.319422,0.9805753,-0.001303775,0.5084175,True
2.339417,0.9826495,0.007776083,0.4837351,True
2.359407,0.9700732,0.03034088,0.4533543,True
2.379401,0.992739,0.01887247,0.4398487,True
2.399394,1.018081,-0.0007449616,0.4250053,True
2.419386,1.018081,-0.000373091,0.4116422,True
2.439381,1.004587,0.01008487,0.409954,True
2.459376,0.9835069,0.02283541,0.4046156,True
2.479371,0.9686578,0.02517988,0.3922517,True
2.499366,0.9546879,0.02349595,0.3842626,True
2.519361,0.969415,0.01381128,0.3783068,True
2.539356,0.969415,0.01304702,0.3826675,True
2.559357,1.000946,-0.01034807,0.3908319,True
2.579351,1.008322,-0.01200272,0.3905365,True
2.599347,0.9848102,0.01402348,0.3938253,True
2.619342,0.9711129,0.03378594,0.405803,True
2.639342,0.9834729,0.02170644,0.4125854,True
2.659343,0.9834729,0.02148507,0.4102093,True
2.679335,0.997472,0.003929944,0.4076444,True
2.69933,0.9862694,0.01794413,0.3918564,True
2.719325,0.9932674,0.01630065,0.3853205,True
2.739325,1.004071,0.004062976,0.3956548,True
2.759324,0.9933876,0.0129582,0.4012235,True
2.779324,0.9933876,0.01406465,0.4093954,True
2.799314,0.9767249,0.02414862,0.4138951,True
2.819309,0.9665042,0.02558372,0.4280564,True
2.839304,0.9660078,0.02328565,0.4361918,True
2.859299,0.96558,0.02682848,0.4502476,True
2.879294,0.973183,0.0161339,0.4612318,True
2.899289,0.973183,0.01538785,0.4646983,True
2.919289,0.9751552,0.009099225,0.4914815,True
2.939284,0.964153,0.0157422,0.500414,True
2.959279,0.95434,0.02339938,0.5023907,True
2.979274,0.9653209,0.01207022,0.5123348,True
2.999269,0.9811413,-0.0003757115,0.517588,True
3.019258,0.9700588,0.01553567,0.5264511,True
3.039247,0.9700588,0.01414139,0.525637,True
3.059242,0.9723404,0.02240418,0.5347953,True
3.079236,0.9814646,0.01650486,0.5362992,True
3.099231,0.9911563,0.01616053,0.5465711,True
3.11922,0.9990073,0.01432271,0.5568272,True
3.13922,1.003249,0.01514878,0.5590817,True
3.15922,1.003249,0.014762,0.5602226,True
3.179215,0.9997416,0.01949268,0.5634186,True
3.19921,0.9902623,0.02849131,0.5645614,True
3.2192,0.9834207,0.03282206,0.5690337,True
3.23919,0.9809654,0.03272501,0.5739728,True
3.259191,0.9791788,0.02991286,0.5730159,True
3.279191,0.9791788,0.02873873,0.5753562,True
3.299188,0.978837,0.03077519,0.5783493,True
3.319183,0.9832022,0.02602425,0.5476688,True
3.339184,0.9824109,0.02864244,0.5332218,True
3.359179,0.9801591,0.02899514,0.4932927,True
3.379169,0.9774764,0.03186939,0.4853426,True
3.399159,0.9774764,0.03064144,0.4651925,True
3.419154,0.9742023,0.03387135,0.4568736,True
3.439149,0.9750172,0.03215855,0.5470286,True
3.459145,0.9930607,0.01467768,0.4865158,True
3.47914,0.9978248,0.01627503,0.4865158,False
3.49914,0.9940258,0.02360282,0.4865158,False
3.519139,0.9940258,0.0232233,0.4865158,False
3.539134,0.9855347,0.02655093,0.4865158,False
3.559129,0.9805245,0.02535588,0.4865158,False
3.579124,0.9902624,0.01552365,0.4865158,False
3.599119,0.9854847,0.01792071,0.4865158,False
3.619108,0.9822428,0.02238237,0.4865158,False
3.639098,0.9822428,0.02187495,0.4865158,False
3.659093,0.9764993,0.01993491,0.4865158,False
3.679094,0.9776026,0.01543313,0.4865158,False
3.699089,0.9840987,0.006650067,0.4865158,False
3.719084,0.9768,0.01762169,0.4865158,False
3.739073,0.9710251,0.02795656,0.4865158,False
3.759062,0.9710251,0.02705773,0.4865158,False
3.779054,0.9778454,0.02189879,0.4865158,False
3.799052,0.9885548,0.01244864,0.4865158,False
3.819044,0.9901861,0.009404852,0.4865158,False
3.83915,0.9851398,0.0152007,0.4865158,False
3.859146,0.9765978,0.02158104,0.4865158,False
3.879142,0.9765978,0.0213208,0.4865158,False
3.89914,0.9804001,0.02260702,0.4865158,False
3.919139,0.9804353,0.02606387,0.4865158,False
3.939133,0.9811152,0.02912097,0.4865158,False
3.959129,0.9835621,0.02486338,0.4865158,False
3.979123,0.9879205,0.01727181,0.4865158,False
3.999118,0.9879205,0.01700754,0.4865158,False
4.019117,0.9839347,0.02217244,0.4865158,False
4.039162,0.9817834,0.02987814,0.4865158,False
4.059206,0.9887218,0.02137355,0.4865158,False
4.079252,0.9890732,0.02301762,0.4865158,False
4.099304,0.9843685,0.03183048,0.4865158,False
4.119356,0.9843685,0.03171154,0.4865158,False
4.139407,0.9884162,0.0255303,0.4865158,False
4.159446,0.997401,0.01665734,0.4865158,False
4.179491,0.9848793,0.02691906,0.4865158,False
4.199536,0.9743518,0.03836319,0.4865158,False
4.219582,0.968923,0.03392106,0.4865158,False
4.239627,0.968923,0.03325984,0.4865158,False
4.259678,0.974562,0.02483153,0.4865158,False
4.279719,0.9787484,0.01527963,0.4865158,False
4.299761,0.9773255,0.01561148,0.4865158,False
4.319695,0.9710208,0.03116407,0.4865158,False
4.339739,0.978843,0.02416012,0.4865158,False
4.359783,0.978843,0.02322562,0.4865158,False
4.379825,0.9916569,0.01222715,0.4865158,False
4.399866,1.006996,0.003737098,0.4865158,False
4.41991,1.004062,0.008709325,0.4865158,False
4.439955,0.9863325,0.02787907,0.4865158,False
4.459996,0.9771436,0.03315927,0.4865158,False
4.480037,0.9771436,0.03322867,0.4865158,False
4.500077,0.9851317,0.02261268,0.4865158,False
4.520079,0.9843707,0.02257383,0.4865158,False
4.540073,0.9782757,0.02131268,0.4865158,False
4.560069,0.9834105,0.01748976,0.4865158,False
4.580062,0.9826582,0.01884653,0.4865158,False
4.600051,0.9842144,0.01674391,0.4865158,False
4.62004,0.9842144,0.01710719,0.4865158,False
4.640041,0.9900539,0.01256527,0.4865158,False
4.660037,0.9837417,0.02537,0.4865158,False
4.680032,0.9999551,0.01992353,0.4865158,False
4.700027,1.02719,0.002974156,0.4865158,False
4.720015,1.051066,0.009944458,0.4865158,False
4.740004,1.051066,0.02411162,0.4865158,False
4.759999,1.098135,0.02803531,0.4865158,False
4.779994,1.167066,0.03116293,0.4865158,False
4.799988,1.20147,0.04900241,0.4865158,False
4.819983,1.152092,0.08446446,0.4865158,False
4.839978,1.081803,0.1220364,0.4865158,False
4.859973,1.081803,0.1440267,0.4865158,False
4.879975,1.034652,0.136439,0.4865158,False
4.89997,0.9896058,0.1484449,0.4865158,False
4.919966,0.9486001,0.1420773,0.4865158,False
4.939961,0.9936573,0.1041105,0.4865158,False
4.959956,0.9938091,0.1177441,0.4865158,False
4.97995,0.9938091,0.1332771,0.4865158,False
4.999939,0.9664229,0.1531727,0.4865158,False
5.019934,0.9286557,0.1401673,0.4865158,False
5.039929,0.9173007,0.1110359,0.4865158,False
5.059918,0.9367992,0.08657768,0.4865158,False
5.079913,0.9197805,0.1020612,0.4865158,False
5.099907,0.9197805,0.1102839,0.4865158,False
5.119896,0.9142873,0.1128386,0.4865158,False
5.13989,0.9555299,0.08113849,0.4865158,False
5.159884,0.9807859,0.06906275,0.4865158,False
5.17988,0.9855027,0.08426362,0.4865158,False
5.199875,0.9872601,0.1004645,0.4865158,False
5.21987,0.9872601,0.1104855,0.4865158,False
5.239866,1.246474,-0.06368162,0.4865158,False
5.259861,1.751508,0.08204767,0.4865158,False
5.279856,1.130967,0.05367762,0.4865158,False
5.299851,0.8810939,0.1763912,0.4865158,False
5.319846,0.786304,0.2339485,0.4865158,False
5.339835,0.9196916,0.1166754,0.4865158,False
5.359824,0.9196916,0.1359547,0.4865158,False
5.37982,1.264815,0.1903985,0.4865158,False
5.399814,1.173111,0.1893701,0.4865158,False
5.419911,1.184505,0.007421994,0.4865158,False
5.439906,0.8498082,0.0285566,0.4865158,False
5.459901,0.782735,0.120416,0.4865158,False
5.479896,0.782735,0.1391582,0.4865158,False
5.499891,0.9124437,0.06672761,0.4865158,False
5.519886,0.9454128,-0.02852199,0.4865158,False
5.539881,0.882914,0.09743007,0.4865158,False
5.559876,0.8834686,0.1544703,0.4865158,False
5.579871,0.9530567,0.05277148,0.4865158,False
5.599865,0.9530567,0.05902826,0.4865158,False
5.619861,0.9474387,0.02491244,0.4865158,False
5.639856,0.970488,-0.04090185,0.4865158,False
5.659851,0.9780993,0.05330625,0.4865158,False
5.679845,0.9948784,0.06347877,0.4865158,False
5.69984,1.040879,0.1617743,0.4865158,False
5.719834,1.040879,0.1791931,0.5891243,True
5.739829,1.037242,0.1729387,0.6213337,True
5.759823,0.9857549,0.1904627,0.6883264,True
