time,mag,fwd,gyro,hasGyro
0.01999495,0.9067662,-0.03675795,0,False
0.03998948,0.9278532,-0.1411267,0,False
0.0599786,0.9519304,-0.1303544,0,False
0.07996746,0.965485,-0.1139924,0,False
0.09996252,0.9657878,-0.09414576,0,False
0.1199569,0.988811,-0.08385924,0,False
0.1399514,1.019033,-0.07879253,0,False
0.1599424,1.068308,-0.08995851,0,False
0.1799374,1.095344,-0.09548829,0,False
0.1999355,1.075194,-0.07707424,0,False
0.2199348,1.039736,-0.0481656,0,False
0.2399343,1.015022,-0.04241844,0,False
0.2597921,1.052672,-0.0529879,0,False
0.2797821,1.116374,-0.07594354,0,False
0.2997822,1.140706,-0.08435949,0,False
0.3197772,1.098578,-0.07567611,0,False
0.3397712,1.027744,-0.06378184,0,False
0.3597647,0.9395288,-0.05181852,0,False
0.3797599,0.8737789,-0.04525467,0,False
0.399759,0.9317622,-0.04398923,0,False
0.4197585,1.087803,-0.05274913,0,False
0.4397537,1.174718,-0.07272586,0,False
0.4597489,1.104937,-0.04626483,0,False
0.4797486,0.9526799,-0.0666059,0,False
0.4997438,0.7921408,-0.05006029,0,False
0.5197412,0.6585088,-0.001885338,0,False
0.5397365,0.5950199,0.02080069,0,False
0.5597343,0.5841985,-0.003559904,0,False
0.5797296,0.6247846,-0.0280447,0,False
0.5997206,0.7061267,0.01142056,0,False
0.619716,0.8597155,0.05486621,0,False
0.6397069,1.012701,0.07822213,0,False
0.6597066,1.115426,0.06753812,0,False
0.679702,1.253802,0.01383274,0,False
0.6996961,1.309885,-0.02759866,0,False
0.719696,1.20892,-0.02076677,0,False
0.7396926,1.161459,0.01575591,0,False
0.7596873,1.146888,0.00120287,0,False
0.7797328,1.095776,-0.04107098,0,False
0.7997784,1.025649,-0.08254593,0,False
0.8198197,0.968564,-0.09213369,0,False
0.8398656,1.012497,-0.09172536,0,False
0.8599108,1.083851,-0.08565515,0,False
0.8799565,1.11373,-0.08866271,0,False
0.9000068,1.119089,-0.115393,0,False
0.9200543,1.084551,-0.1173263,0,False
0.9401018,1.084551,-0.1002145,0,False
0.9601472,1.134559,-0.1044205,0,False
0.98019,1.251808,-0.06161249,0,False
1.000235,1.312678,0.006191029,0,False
1.020281,1.263329,0.01135797,0,False
1.040326,1.263329,0.02298989,0,False
1.060368,1.127723,0.03365644,0,False
1.080414,0.9711673,0.06239411,0,False
1.100454,0.8800599,0.06924879,0,False
1.1205,0.9891852,0.03848484,0,False
1.140541,0.9872333,0.01876587,0,False
1.160582,0.9324715,0.01364668,0,False
1.180624,0.9324715,0.01282672,0,False
1.20067,0.9314518,0.002072854,0,False
1.220711,0.9754261,-0.01250627,0,False
1.240712,1.045196,-0.003468464,0,False
1.260703,0.970631,0.05525132,0,False
1.280698,0.8236661,0.08275877,0,False
1.300694,0.8236661,0.1015082,0,False
1.320689,0.8512274,0.1424775,0,False
1.340688,0.9709952,0.1984654,0,False
1.360679,1.00735,0.2353036,0,False
1.380675,0.9542025,0.2556704,0,False
1.400666,0.903421,0.2302643,0,False
1.420657,0.903421,0.2416683,0,False
1.440653,0.8969231,0.2326804,0,False
1.460648,0.8934476,0.2439122,0,False
1.480644,0.9383602,0.2349638,0,False
1.500639,0.9254043,0.2355663,0,False
1.520634,0.9450344,0.2336746,0,False
1.54063,0.9450344,0.2267012,0,False
1.560624,1.019285,0.2228724,0,False
1.58062,1.084351,0.199926,0,False
1.600615,1.092222,0.1453444,0,False
1.62061,1.101354,0.09344856,0,False
1.640606,1.120117,0.05931488,0,False
1.660601,1.120117,0.04216509,0,False
1.680595,1.149466,0.0185613,0,False
1.70059,1.109811,0.001330917,0,False
1.72058,1.15764,-0.03586892,0,False
1.740575,1.038263,-0.05349113,0,False
1.76057,0.9472016,-0.06279036,0,False
1.780566,0.8408426,-0.04781521,0,False
1.800561,0.8408426,-0.07480515,0,False
1.820553,0.5321493,-0.03263932,0,False
1.840548,0.6415974,-0.08829659,0,False
1.860538,0.9372398,-0.1577364,0,False
1.880534,1.06116,-0.1961141,0,False
1.900535,1.007578,-0.1504991,0,False
1.920536,1.007578,-0.1508489,0,False
1.940537,0.9780582,-0.1488963,0,False
1.960532,0.9923789,-0.1418159,0,False
1.980534,1.019667,-0.1308881,0,False
2.00053,1.075438,-0.1191275,0,False
2.020533,1.153732,-0.1229101,0,False
2.040535,1.153732,-0.1015177,0,False
2.060531,1.078315,-0.06544689,0,False
2.080526,1.033738,-0.04536272,0,False
2.100522,1.076667,-0.04093412,0,False
2.120522,1.09052,-0.03277313,0,False
2.140517,1.005615,-0.0107186,0,False
2.160512,1.005615,0.002073213,0,False
2.180508,0.9839877,0.01216304,0,False
2.200509,1.032217,0.04361133,0,False
2.220504,1.088984,0.07728177,0,False
2.240505,1.099461,0.1241161,0,False
2.2605,1.042497,0.1580044,0,False
2.280496,1.042497,0.160238,0,False
2.300491,0.9813924,0.1641846,0,False
2.320487,0.9333768,0.1643976,0,False
2.340487,0.9482598,0.1775056,0,False
2.360483,1.015621,0.2143868,0,False
2.380472,0.9975244,0.230344,0,False
2.400462,0.9975244,0.1895047,0,False
2.420457,0.4852419,0.2274916,0,False
