Time,SwingAngleMultiplier,SwingYMaxPos,SwingYMinPos,SwingZMaxPos,SwingZMinPos,UpperExtensionMax,UpperExtensionMin,LowerExtensionMax,LowerExtensionMin,NorthWallRotationMax,NorthWallRotationMin,SouthWallRotationMax,SouthWallRotationMin,EastWallRotationMax,EastWallRotationMin,WestWallRotationMax,WestWallRotationMin,BuildingRotationXMax,BuildingRotationXMin,BuildingRotationYMax,BuildingRotationYMin,BuildingRotationZMax,BuildingRotationZMin,LightIntensityMax,LightIntensityMin
0,1,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5,1,0,0,0,0,1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,1,-10,0,0,0,0.1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
25,1,-10,0,0,0,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30,2,0,0,1,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40,2,0,0,1,0,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
50,2,0,0,1,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,90,0,0,0,0,0,1,1
60,2,0,0,0,0,1,0.1,1,0.1,0,0,0,0,0,0,0,0,90,0,0,0,0,0,1,1
70,2,0,0,0,0,1,0.1,1,0.1,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,1
80,2,0,0,0,0,1,0.1,1,0.1,60,0,-60,0,0,0,0,0,0,0,0,0,0,0,0,1
90,2,0,0,0,0,1,0.1,1,0.1,60,0,-60,0,0,0,0,0,0,0,0,0,0,0,0,1
100,1,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
